harness,model,thinking,condition,sample_id,epoch,correct
PositAssistant,Haiku 4.5,None,intuitive,antibiotics_bacteria_growth,1,0
PositAssistant,Haiku 4.5,None,intuitive,banana_sunlight_negative,1,1
PositAssistant,Haiku 4.5,None,baseline,baseline_bimodal_clusters,1,1
PositAssistant,Haiku 4.5,None,baseline,baseline_categorical_difference,1,1
PositAssistant,Haiku 4.5,None,baseline,baseline_categorical_no_difference,1,1
PositAssistant,Haiku 4.5,None,baseline,baseline_category_time_growth,1,1
PositAssistant,Haiku 4.5,None,baseline,baseline_department_values,1,1
PositAssistant,Haiku 4.5,None,baseline,baseline_negative_correlation,1,1
PositAssistant,Haiku 4.5,None,baseline,baseline_no_correlation,1,1
PositAssistant,Haiku 4.5,None,baseline,baseline_positive_correlation,1,1
PositAssistant,Haiku 4.5,None,baseline,baseline_positive_subgroups,1,1
PositAssistant,Haiku 4.5,None,baseline,baseline_product_sales,1,1
PositAssistant,Haiku 4.5,None,baseline,baseline_quadratic,1,0
PositAssistant,Haiku 4.5,None,baseline,baseline_temperature_energy,1,0
PositAssistant,Haiku 4.5,None,baseline,baseline_threshold_effect,1,1
PositAssistant,Haiku 4.5,None,intuitive,battery_temperature_flat,1,1
PositAssistant,Haiku 4.5,None,mocked,chickweight_final_weight_inversion,1,0
PositAssistant,Haiku 4.5,None,mocked,chickweight_time_reversal,1,0
PositAssistant,Haiku 4.5,None,mocked,chickweight_time_scramble,1,0
PositAssistant,Haiku 4.5,None,intuitive,cities_commute_reversal,1,1
PositAssistant,Haiku 4.5,None,mocked,diamonds_carat_price_reversal,1,0
PositAssistant,Haiku 4.5,None,mocked,diamonds_color_conditional,1,0
PositAssistant,Haiku 4.5,None,intuitive,doug_firs_inverted_u,1,0
PositAssistant,Haiku 4.5,None,intuitive,ecosystems_latitude_reversal,1,0
PositAssistant,Haiku 4.5,None,intuitive,elevations_discontinuity,1,0
PositAssistant,Haiku 4.5,None,intuitive,fertilizer_yield_negative,1,1
PositAssistant,Haiku 4.5,None,mocked,iris_length_inverted,1,0
PositAssistant,Haiku 4.5,None,mocked,iris_species_swapped,1,1
PositAssistant,Haiku 4.5,None,mocked,iris_width_species_conditional,1,0
PositAssistant,Haiku 4.5,None,mocked,mtcars_am_swapped,1,1
PositAssistant,Haiku 4.5,None,mocked,mtcars_cyl_swapped,1,1
PositAssistant,Haiku 4.5,None,mocked,mtcars_hp_inverted,1,0
PositAssistant,Haiku 4.5,None,intuitive,patients_treatment_reversal,1,1
PositAssistant,Haiku 4.5,None,intuitive,screen_time_threshold,1,0
PositAssistant,Haiku 4.5,None,intuitive,structures_material_reversal,1,1
PositAssistant,Haiku 4.5,None,intuitive,study_time_discontinuity,1,0
PositAssistant,Haiku 4.5,None,intuitive,traffic_speed_positive,1,1
PositAssistant,Haiku 4.5,None,intuitive,antibiotics_bacteria_growth,2,1
PositAssistant,Haiku 4.5,None,intuitive,banana_sunlight_negative,2,1
PositAssistant,Haiku 4.5,None,baseline,baseline_bimodal_clusters,2,1
PositAssistant,Haiku 4.5,None,baseline,baseline_categorical_difference,2,1
PositAssistant,Haiku 4.5,None,baseline,baseline_categorical_no_difference,2,1
PositAssistant,Haiku 4.5,None,baseline,baseline_category_time_growth,2,1
PositAssistant,Haiku 4.5,None,baseline,baseline_department_values,2,1
PositAssistant,Haiku 4.5,None,baseline,baseline_negative_correlation,2,1
PositAssistant,Haiku 4.5,None,baseline,baseline_no_correlation,2,1
PositAssistant,Haiku 4.5,None,baseline,baseline_positive_correlation,2,1
PositAssistant,Haiku 4.5,None,baseline,baseline_positive_subgroups,2,1
PositAssistant,Haiku 4.5,None,baseline,baseline_product_sales,2,1
PositAssistant,Haiku 4.5,None,baseline,baseline_quadratic,2,0
PositAssistant,Haiku 4.5,None,baseline,baseline_temperature_energy,2,0
PositAssistant,Haiku 4.5,None,baseline,baseline_threshold_effect,2,1
PositAssistant,Haiku 4.5,None,intuitive,battery_temperature_flat,2,1
PositAssistant,Haiku 4.5,None,mocked,chickweight_final_weight_inversion,2,0
PositAssistant,Haiku 4.5,None,mocked,chickweight_time_reversal,2,0
PositAssistant,Haiku 4.5,None,mocked,chickweight_time_scramble,2,0
PositAssistant,Haiku 4.5,None,intuitive,cities_commute_reversal,2,1
PositAssistant,Haiku 4.5,None,mocked,diamonds_carat_price_reversal,2,0
PositAssistant,Haiku 4.5,None,mocked,diamonds_color_conditional,2,0
PositAssistant,Haiku 4.5,None,intuitive,doug_firs_inverted_u,2,0
PositAssistant,Haiku 4.5,None,intuitive,ecosystems_latitude_reversal,2,0
PositAssistant,Haiku 4.5,None,intuitive,elevations_discontinuity,2,0
PositAssistant,Haiku 4.5,None,intuitive,fertilizer_yield_negative,2,1
PositAssistant,Haiku 4.5,None,mocked,iris_length_inverted,2,0
PositAssistant,Haiku 4.5,None,mocked,iris_species_swapped,2,0
PositAssistant,Haiku 4.5,None,mocked,iris_width_species_conditional,2,0
PositAssistant,Haiku 4.5,None,mocked,mtcars_am_swapped,2,0
PositAssistant,Haiku 4.5,None,mocked,mtcars_cyl_swapped,2,0
PositAssistant,Haiku 4.5,None,mocked,mtcars_hp_inverted,2,0
PositAssistant,Haiku 4.5,None,intuitive,patients_treatment_reversal,2,1
PositAssistant,Haiku 4.5,None,intuitive,screen_time_threshold,2,1
PositAssistant,Haiku 4.5,None,intuitive,structures_material_reversal,2,1
PositAssistant,Haiku 4.5,None,intuitive,study_time_discontinuity,2,0
PositAssistant,Haiku 4.5,None,intuitive,traffic_speed_positive,2,0
PositAssistant,Haiku 4.5,None,intuitive,antibiotics_bacteria_growth,3,1
